임정호,1990-04-16,06-11,두산,W 7:5,0,1.0,0,0,3,3,0,0,0,0,0,0,0,2,13,0.97,0.200,0.000,0.000,1.74,0.88,1.57,0.064,,,2일
임정호,1990-04-16,06-14,키움,W 9:5,0,0.2,1,1,5,4,2,1,0,0,1,0,0,0,22,1.08,0.214,0.600,1.350,2.25,1.78,-1.08,-0.100,,,2일
임정호,1990-04-16,06-21,한화,W 9:7,0,0.0,2,2,2,1,1,0,0,0,1,0,0,0,11,1.38,0.244,1.000,2.000,3.65,0.67,-1.40,-0.056,,,5일
임정호,1990-04-16,06-26,@두산,W 9:3,0,1.1,0,0,4,4,0,0,0,0,0,0,0,1,12,1.29,0.231,0.000,0.000,4.50,0.74,1.02,0.075,,,1일
임정호,1990-04-16,07-01,롯데,W 6:2,0,1.0,0,0,3,3,1,0,0,0,0,0,0,0,5,1.33,0.236,0.333,0.667,4.80,1.03,0.95,0.046,,,1일
루친스키,1988-12-30,05-05,@삼성,W 4:0,1,6.0,0,0,25,21,3,0,0,0,4,0,0,6,91,1.17,0.143,0.280,0.423,0.00,0.91,3.33,0.319,68,W,7+일
루친스키,1988-12-30,05-17,@SK,W 11:5,1,6.0,2,2,27,26,8,0,0,0,1,0,0,2,100,1.56,0.292,0.333,0.641,3.63,0.96,1.33,0.026,49,W,5일
루친스키,1988-12-30,05-29,@삼성,L 4:5,1,7.0,3,2,28,28,6,0,0,0,0,0,0,7,110,1.18,0.246,0.214,0.429,2.51,1.52,0.89,0.107,62,,6일
루친스키,1988-12-30,06-10,두산,L 1:9,1,6.0,2,2,22,20,3,0,0,2,1,0,1,3,100,1.13,0.234,0.227,0.677,2.23,0.69,1.33,0.051,60,L,6일
루친스키,1988-12-30,06-23,@KT,W 4:3,1,7.0,3,3,27,26,7,1,0,2,1,0,0,6,104,1.15,0.234,0.296,0.835,2.67,1.20,0.89,0.095,56,W,7일
루친스키,1988-12-30,07-04,KIA,W 9:2,1,6.0,1,1,25,21,4,0,0,0,2,0,2,4,88,1.11,0.222,0.320,0.511,2.30,1.06,2.33,0.213,62,W,6일
임창민,1985-08-25,05-05,@삼성,W 4:0,0,1.0,0,0,3,3,0,0,0,0,0,0,0,1,10,0.00,0.000,0.000,0.000,0.00,0.45,0.56,0.034,,,7+일
임창민,1985-08-25,05-08,LG,W 13:5,0,0.1,1,1,2,2,1,1,0,0,0,0,0,1,6,0.60,0.167,0.500,1.500,5.40,0.29,-0.17,0.013,,,2일
임창민,1985-08-25,05-13,KT,W 5:4,0,1.0,1,0,5,4,1,0,1,0,0,0,0,2,16,2.00,0.400,0.250,1.000,15.00,2.77,-0.45,-0.300,,W,3일
임창민,1985-08-25,06-13,키움,L 5:18,0,1.0,0,0,3,3,0,0,0,0,0,0,0,2,11,2.14,0.300,0.000,0.000,11.57,0.02,0.56,0.002,,,7+일
임창민,1985-08-25,06-16,@KIA,L 4:7,0,0.0,2,2,2,1,1,0,0,0,1,0,0,0,14,1.89,0.269,1.000,2.000,11.37,1.92,-1.02,-0.138,,L,2일
임창민,1985-08-25,06-21,한화,W 9:7,0,0.2,1,1,5,3,1,0,0,0,1,0,1,1,19,1.75,0.250,0.600,0.933,10.13,1.98,-1.08,-0.094,,,1일
임창민,1985-08-25,06-26,@두산,W 9:3,0,0.1,0,0,2,2,1,0,0,0,0,0,0,0,9,1.67,0.257,0.500,1.000,9.00,0.66,-0.02,-0.001,,,1일
